procedure_full,proc,start_time,start_dt,source_file,Irange,NPLC,Burn-in time,Chip group name,Chip number,Information,Laser voltage,Laser wavelength,Procedure version,Sample,Step time,VG,VSD end,VSD start,VSD step,Start time,file_idx,VDS,VG end,VG start,VG step
laser_setup.procedures.IVg.IVg,IVg,1757443286.6840177,2025-09-09T15:41:26.684018,IVg2025-09-09_1.csv,0.0001 A,1,60 s,other,2,Servian Graphene - Top Gate ?,0 V,0,2.1.0,other,0 s,,,,,1757443286.6840177,1,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IV.IV,IV,1757443351.3880434,2025-09-09T15:42:31.388043,IV2025-09-09_1.csv,0.0001 A,1,600 s,other,2,Servian Graphene,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757443351.3880434,1,,,,
laser_setup.procedures.IV.IV,IV,1757443364.6924756,2025-09-09T15:42:44.692476,IV2025-09-09_2.csv,0.001 A,1,600 s,other,2,Servian Graphene,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757443364.6924756,2,,,,
laser_setup.procedures.IV.IV,IV,1757443376.8070998,2025-09-09T15:42:56.807100,IV2025-09-09_3.csv,0.01 A,1,600 s,other,2,Servian Graphene,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757443376.8070998,3,,,,
laser_setup.procedures.IV.IV,IV,1757443559.6312978,2025-09-09T15:45:59.631298,IV2025-09-09_4.csv,0.01 A,1,600 s,other,1,Servian Graphene,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757443559.6312978,4,,,,
laser_setup.procedures.IVg.IVg,IVg,1757443944.0020893,2025-09-09T15:52:24.002089,IVg2025-09-09_2.csv,0.0001 A,1,60 s,other,1,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757443944.0020893,2,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757444266.8525362,2025-09-09T15:57:46.852536,IVg2025-09-09_3.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757444266.8525362,3,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757444409.6882641,2025-09-09T16:00:09.688264,IVg2025-09-09_4.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757444409.6882641,4,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757444516.8890977,2025-09-09T16:01:56.889098,IVg2025-09-09_5.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757444516.8890977,5,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757444623.8976266,2025-09-09T16:03:43.897627,IVg2025-09-09_6.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757444623.8976266,6,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757444642.2841115,2025-09-09T16:04:02.284111,IVg2025-09-09_7.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757444642.2841115,7,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757445064.6374614,2025-09-09T16:11:04.637461,IVg2025-09-09_8.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757445064.6374614,8,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757445125.307619,2025-09-09T16:12:05.307619,IVg2025-09-09_9.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757445125.307619,9,0.075 V,10 V,-10 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757445198.0288212,2025-09-09T16:13:18.028821,IVg2025-09-09_10.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757445198.0288212,10,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757445329.4885848,2025-09-09T16:15:29.488585,IVg2025-09-09_11.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757445329.4885848,11,0.075 V,5 V,-5 V,0.2 V
laser_setup.procedures.IV.IV,IV,1757445617.784208,2025-09-09T16:20:17.784208,IV2025-09-09_5.csv,0.01 A,1,600 s,other,1,Servian top,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757445617.784208,5,,,,
laser_setup.procedures.IVg.IVg,IVg,1757445779.3732922,2025-09-09T16:22:59.373292,IVg2025-09-09_12.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757445779.3732922,12,0.075 V,1 V,-1 V,0.2 V
laser_setup.procedures.IVg.IVg,IVg,1757445828.254803,2025-09-09T16:23:48.254803,IVg2025-09-09_13.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757445828.254803,13,0.075 V,1 V,-1 V,0.2 V
laser_setup.procedures.IV.IV,IV,1757445970.691204,2025-09-09T16:26:10.691204,IV2025-09-09_6.csv,0.01 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757445970.691204,6,,,,
laser_setup.procedures.IV.IV,IV,1757445983.0571663,2025-09-09T16:26:23.057166,IV2025-09-09_7.csv,0.01 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757445983.0571663,7,,,,
laser_setup.procedures.IV.IV,IV,1757446007.8127143,2025-09-09T16:26:47.812714,IV2025-09-09_8.csv,0.001 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757446007.8127143,8,,,,
laser_setup.procedures.IV.IV,IV,1757446027.3556013,2025-09-09T16:27:07.355601,IV2025-09-09_9.csv,0.0001 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757446027.3556013,9,,,,
laser_setup.procedures.IV.IV,IV,1757446040.091051,2025-09-09T16:27:20.091051,IV2025-09-09_10.csv,1e-05 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,1 V,-1 V,0.05 V,1757446040.091051,10,,,,
laser_setup.procedures.IV.IV,IV,1757446063.381521,2025-09-09T16:27:43.381521,IV2025-09-09_11.csv,1e-05 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,2 V,-2 V,0.05 V,1757446063.381521,11,,,,
laser_setup.procedures.IV.IV,IV,1757446110.4034371,2025-09-09T16:28:30.403437,IV2025-09-09_12.csv,1e-06 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,2 V,-2 V,0.05 V,1757446110.4034371,12,,,,
laser_setup.procedures.IV.IV,IV,1757446150.6100307,2025-09-09T16:29:10.610031,IV2025-09-09_13.csv,1e-08 A,1,600 s,other,1,Scratch - Source,0 V,0,2.0.1,other,0 s,0 V,2 V,-2 V,0.05 V,1757446150.6100307,13,,,,
laser_setup.procedures.IVg.IVg,IVg,1757446575.7866263,2025-09-09T16:36:15.786626,IVg2025-09-09_14.csv,0.0001 A,1,60 s,other,2,Servian Graphene,0 V,0,2.1.0,other,0 s,,,,,1757446575.7866263,14,0.075 V,1 V,-1 V,0.2 V
