file_idx,chip,wavelength_nm,I_peak_uA,t_peak_s,I_end_uA,I_avg_uA,Q_photo_uC,f_decay,tau_decay_s,core_lo_s,core_hi_s
1,81,850.0,0.006668289410639806,60.18083,-0.003426710589361662,-0.001691710589362262,-0.1335167427091515,1.5138815036872968,NaN,72.10852200000001,108.064968
2,81,680.0,0.011210175333971702,65.36222,-0.010174824666028433,-0.0053598246660287166,-0.29674702813503173,1.9076418845291645,NaN,72.10852200000001,108.064968
3,81,625.0,0.008900334688022603,73.86831,0.0003903346880202059,0.002060334688021835,0.09609826832605083,0.9561438191144105,NaN,72.10852200000001,108.064968
4,81,590.0,0.0047324616858239925,111.4608,-0.0016975383141751986,-0.0035025383141744134,-0.15903383232887572,1.3587009101965148,NaN,72.10852200000001,108.064968
5,81,565.0,0.010479238026995377,67.09232,-0.0007707619730072679,0.0009492380269944707,0.0963176763664078,1.0735513375134453,NaN,72.10852200000001,108.064968
6,81,505.0,0.0003470384569280872,60.64976,-0.04455296154307211,-0.02460296154307241,-1.513213070628229,129.38047384559547,NaN,72.10852200000001,108.064968
7,81,455.0,0.2921378620194043,119.5651,0.2718028620194048,0.153082862019404,8.910127922967613,0.06960754713351347,5.1320158302434855,72.10852200000001,108.064968
8,81,405.0,0.6463057377830761,119.9642,0.6358607377830755,0.48842573778307513,25.82209492697983,0.016161081960727186,NaN,72.10852200000001,108.064968
15,81,385.0,1.1598908562911188,118.433,1.1425008562911187,0.9023408562911183,47.582721759894625,0.014992789973021003,NaN,72.10852200000001,108.064968
16,81,365.0,0.09575415998084154,91.89724,0.056734159980839326,0.0865241599808396,4.306653498079058,0.40750187780676395,NaN,72.10852200000001,108.064968
